0,Temperature,air,rain,
1,17.5,1018.2,60.8,2001
2,18.1,1020.5,68.9,
3,19.1,1015.5,162.2,
4,21.9,1011.3,289.5,
5,25.4,1010,316.6,
6,28.5,1006.5,391,
7,29.5,1003.1,185.5,
1,16.1,1020.4,65.2,2002
2,17.8,1020.4,58.3,
3,21.1,1015.2,130.7,
4,23.8,1012.8,29.6,
5,26.6,1008.8,92.8,
6,28.6,1006,154.2,
7,29.6,1002.2,314.1,
1,16.1,1021.2,72.9,2003
2,17.8,1018.9,20.2,
3,21.1,1017.6,86.2,
4,23.8,1012.2,132.8,
5,26.6,1008.6,88.8,
6,28.6,1005.8,201.1,
7,29.6,1007.6,83,
1,15.4,1020.5,121,2004
2,17.8,1018.1,164.7,
3,17.6,1016.3,182.8,
4,21.9,1012.4,103.9,
5,25.8,1008.6,261.8,
6,27.2,1006.5,171.6,
7,29.7,1006.3,194.3,
1,15.5,1019.5,71,2005
2,16.2,1018.7,299.8,
3,17.3,1019.1,268.5,
4,23,1013.8,72.4,
5,26.2,1007.5,531,
6,28.2,1004.7,278.9,
7,29.8,1005.4,293.1,
1,17.7,1018.2,60.8,2006
2,17.8,1020.5,68.9,
3,18.7,1015.5,162.2,
4,23.1,1011.3,289.5,
5,25.5,1010,316.6,
6,28,1006.5,391,
7,30.3,1003.1,185.5,
1,17.3,1021.7,111.4,2007
2,18.7,1017.5,70.5,
3,19.7,1015.2,262.5,
4,21.2,1014,198,
5,26.4,1008.9,96.6,
6,28,1006,709.9,
7,30.4,1005.8,156.9,
1,16.5,1020.3,85.8,2008
2,14.1,1021.3,163.7,
3,19.3,1016.1,127.9,
4,22.5,1012.5,153,
5,24.9,1008.1,319.1,
6,27.5,1006.9,361.2,
7,29.6,1004.6,236.4,
1,15.7,1022.1,36.1,2009
2,20.2,1015.6,32.8,
3,18.6,1015.9,192,
4,21.3,1013.4,120.7,
5,25.3,1010.9,24.7,
6,28.2,1005,276.8,
7,30.1,1005.3,140.9,
1,16.9,1020.9,105.3,2010
2,17.6,1017,232.6,
3,20,1017.4,66.5,
4,20.7,1015.1,112.5,
5,25.5,1008.6,183.9,
6,26.2,1007.6,419.6,
7,30.3,1007.3,89.1,
1,13.7,1022.2,71.9,2011
2,16.9,1017,68,
3,16.2,1019.9,119.1,
4,21.7,1013.8,27.4,
5,24.8,1008.9,222,
6,29,1005.4,284.6,
7,29.7,1004.3,264.2,
1,15.9,1019.3,157.4,2012
2,16.4,1017.5,268.8,
3,18.8,1016.3,85.4,
4,23.1,1011.5,289.1,
5,25.9,1007.6,231.2,
6,27.8,1002.9,625.6,
7,30.6,1004.3,162.8,
1,16.7,1020.3,93,2013
2,18.8,1018.5,34.4,
3,19.9,1015.8,49.1,
4,21.1,1012.3,253,
5,26,1008.5,338.4,
6,29.2,1005.3,203.1,
7,29.5,1007,240.5,
1,16.8,1020.3,93,2014
2,16.5,1018.5,34.4,
3,18.9,1015.8,49.1,
4,22.5,1012.3,253,
5,25.2,1008.5,338.4,
6,28,1005.3,203.1,
7,30.5,1007,240.5,
1,16.7,1018.7,20,2015
2,17.3,1016.8,90,
3,18.9,1015.5,182,
4,22.7,1011.2,87.6,
5,26.1,1006.1,302.8,
6,30,1004.3,248.3,
7,16.2,1001.2,316.8,
1,,1017.8,256,2016
2,15.5,1019.4,78.9,
3,17.5,1015.1,285.7,
4,24,1009.2,184.4,
5,27.1,1007.5,186.7,
6,29.4,1004.6,429.8,
7,30.3,1003.5,174.6,
1,18.3,1017.4,21.8,2017
2,17,1017.9,123.7,
3,18.2,1014,182.7,
4,22.5,1010.1,121.5,
5,25.6,1007.3,135.5,
6,28,1004,649.7,
7,30.3,1004.4,206.6,
1,16.9,1015.8,255.8,2018
2,15.6,1017,163.6,
3,20.6,1013.2,37.3,
4,23.5,1011,59.6,
5,28.2,1007.4,42,
6,28.5,1002.5,119.8,
7,30.3,1000.8,190.3,
1,18.5,1018.5,45,2019
2,18.8,1016,64.1,
3,19.8,1012.9,184.2,
4,24.2,1009.1,115.1,
5,25,1006.9,335.8,
6,28.5,1002.7,419.5,
7,30.3,1001.6,439.3,
1,17.9,1016.5,38.6,2020
2,18.7,1018.4,29.6,
3,20.8,1012.7,245.5,
4,20.9,1013.5,87.9,
5,26.9,1005.5,405.8,
6,30.5,1004.1,117.9,
7,30.9,1004,133.5,